ID	Label EN	Annotation	TYPE	Parent Class
ID	A rdfs:label	A PROMOT:1000001 SPLIT=|	TYPE	SC % SPLIT=|
HP:0030193	Fatigable weakness of chewing muscles			(PROMOT:2000005 some http://id.who.int/icd/entity/1389818830)|(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/1328675264)
HP:0031146	Impaired oral bolus formation			(PROMOT:2000005 some http://id.who.int/icd/entity/1174312718)|(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/1328675264)|(PROMOT:2000005 some http://id.who.int/icd/entity/553784299)
HP:0002015	Dysphagia			(PROMOT:2000005 some http://id.who.int/icd/entity/923782542)|(PROMOT:2000005 some http://id.who.int/icd/entity/1328675264)|(PROMOT:2000005 some http://id.who.int/icd/entity/553784299)
HP:0002068	Neuromuscular dysphagia			(PROMOT:2000005 some http://id.who.int/icd/entity/923782542)|(PROMOT:2000005 some http://id.who.int/icd/entity/1328675264)|(PROMOT:2000005 some http://id.who.int/icd/entity/553784299)
HP:0200136	Oral-pharyngeal dysphagia			(PROMOT:2000005 some http://id.who.int/icd/entity/923782542)|(PROMOT:2000005 some http://id.who.int/icd/entity/1328675264)|(PROMOT:2000005 some http://id.who.int/icd/entity/553784299)
HP:0031162	Impaired oropharyngeal swallow response			(PROMOT:2000005 some http://id.who.int/icd/entity/1041382491)|(PROMOT:2000005 some http://id.who.int/icd/entity/691689627)|(PROMOT:2000005 some http://id.who.int/icd/entity/1328675264)|(PROMOT:2000005 some http://id.who.int/icd/entity/553784299)
HP:0004325	Decreased body weight			(PROMOT:2000005 some http://id.who.int/icd/entity/862066979)
HP:0002047	Malignant hyperthermia			(PROMOT:2000005 some http://id.who.int/icd/entity/2090906765)
HP:0000028	Cryptorchidism			(PROMOT:2000005 some http://id.who.int/icd/entity/859818654)
HP:0003306	Spinal rigidity			(PROMOT:2000005 some http://id.who.int/icd/entity/248265067)|(PROMOT:2000005 some http://id.who.int/icd/entity/841397411)
HP:0002828	Multiple joint contractures			(PROMOT:2000005 some http://id.who.int/icd/entity/1757783224)
HP:0002804	Arthrogryposis multiplex congenita			(PROMOT:2000005 some http://id.who.int/icd/entity/1757783224)
HP:0001387	Joint stiffness			(PROMOT:2000005 some http://id.who.int/icd/entity/1757783224)
HP:0000467	Neck muscle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/2048203604)
HP:0030319	Weakness of facial musculature			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/1328675264)
HP:0007715	Weak extraocular muscles			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0009023	Abdominal wall muscle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0003327	Axial muscle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/2048203604)
HP:0003722	Neck flexor weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0008994	Proximal muscle weakness in lower limbs			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/2048203604)
HP:0003749	Pelvic girdle muscle weakness / Hip girdle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/2048203604)
HP:0003731	Quadriceps muscle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/2048203604)
HP:0033416	Hip adductor weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/2048203604)
HP:0012515	Hip flexor weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/2048203604)
HP:0008997	Proximal muscle weakness in upper limbs			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0003547	Shoulder girdle muscle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0031108	Triceps weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0009053	Distal lower limb muscle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0009027	Foot dorsiflexor weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/2048203604)
HP:0011727	Peroneal muscle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/2048203604)
HP:0008963	Tibialis muscle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/2048203604)
HP:0031374	Ankle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)|(PROMOT:2000005 some http://id.who.int/icd/entity/2048203604)
HP:0008959	Distal upper limb muscle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
HP:0030237	Hand muscle weakness			(PROMOT:2000005 some http://id.who.int/icd/entity/1789365017)
