ID	Label FR	Label ES	Comment
http://id.who.int/icd/entity/1919311435	Fonctions d'articulation	Funciones de articulación	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1929433903	Structure du membre inférieur	Estructura de la extremidad inferior	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1931374332	Difficulté GRAVE en termes de capacité (élevée, extrême, ...) 50-95%		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1971427995	Facilitateur ABSOLU (total, ...) 96-100%	Facilitador COMPLETO (total, ...) 96-100%	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1976873960	Fonctions relatives au système digestif	Funciones relacionadas con el sistema digestivo	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/1993770860	Monter et descendre des escaliers	Subir y bajar escaleras	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/2017514723	Obstacle, non précisé	barrera, no especificada	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/2021370201	Fonctions de la paupière	Funciones del párpado	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/2031311308	Fonctions des annexes de l'œil	Funciones de las estructuras adyacentes al ojo	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/203515404	Douleur	Dolor	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/2048203604	Mobilité	Movilidad	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/2052957777	Expression du langage parlé	Expresión de lenguaje oral	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/2069371821	Rythme de la parole	Ritmo del habla	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/2069698903	Expression du langage	Expresión de lenguaje	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/2089171534	Sucer	Succión	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/213697684	Fonctions de fluidité et de rythme de la parole	Funciones relacionadas con la fluidez y el ritmo del habla	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/215620164	Difficulté en termes de capacité, non précisée		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/228248134	Déficience GRAVE (élevée, extrême, ...) 50-95%		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/232409592	Structure de la région pelvienne	Estructura de la región pélvica	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/246722870	Structures entourant l'œil	Estructuras periféricas oculares	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/249425252	Structure de la jambe	Estructura de la pierna	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/256640543	Structure des glandes salivaires	Estructura de las glándulas salivales	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/274244827	Facilitateur SUBSTANTIEL (élevé, extrême, ...) 50-95%	Facilitador SUSTANCIAL (alto, extremo,...) 50-95%	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/274570113	Fonctions relatives à la puissance musculaire	Funciones relacionadas con la fuerza muscular	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/278512890	Muscles de la région des épaules	Músculos de la región del hombro	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/279757981	Obstacle MODÉRÉ (moyen, passable, ...) 25-49%	Barrera MODERADA (medio, regular, ...) 25-49%	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/294830867	Muscles de l'avant-bras	Músculos del antebrazo	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/299098423	Douleur à la tête et au cou	Dolor en la cabeza y el cuello	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/326705068	Fonctions des systèmes cardiovasculaire, hématopoïétique, immunitaire et respiratoire	Funciones de los sistemas cardiovascular, hematológico, inmunológico y respiratorio	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/338611549	Muscles de la jambe	Músculos de la pierna	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/360598915	Difficulté LÉGÈRE en termes de performance (légère, faible, ...) 5-24%		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/363211474	Fonctions d'ingestion	Funciones relacionadas con la ingestión	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/365149101	malposition		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/382161084	Difficulté ABSOLUE en termes de capacité (TOTALE, ...) 96-100%		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/388067588	Fonctions de la voix et de la parole	Funciones de la voz y del habla	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/39201091	AUCUNE difficulté en termes de performance (aucune, absence, négligeable, ...) 0-4%		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/405925948	Muscles oculomoteurs	Músculos oculares externos	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/423829389	Codes qualificatifs de la CIF		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/426292658	Structure de l'oreille interne	Estructura del oído interno	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/435521956	Structure de la cuisse	Estructura del muslo	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/436620656	Structure de la région de la tête et du cou	Estructura de la cabeza y de la región del cuello	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/446199613	Fonctions respiratoires	Funciones respiratorias	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/447917702	Déficience MODÉRÉE (moyenne, passable, ...) 25-49%		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/454325322	Douleurs à localisations multiples	Dolor en múltiples partes del cuerpo	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/468876932	Difficulté en termes de capacité, sans objet		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/49012589	changements qualitatifs, y compris accumulation de liquide		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/495844982	Muscles respiratoires	Músculos de la respiración	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/521411479	Structures des systèmes cardio-vasculaire, immunitaire et respiratoire	Capítulo 4 estructuras de los sistemas cardiovascular, inmunológico y respiratorio	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/524499668	Nature de la déficience		Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/539470158	Saliver	Salivación	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
http://id.who.int/icd/entity/553784299	Boire	Beber	Source for French and Spanish labels: https://icd.who.int/browse/2025-01/icf/ > Info > Spreadsheet files (on French and Spanish browser version)
