defined_class	phenotype
http://www.orpha.net/ORDO/Orphanet_97245	HP:0009073
http://www.orpha.net/ORDO/Orphanet_97245	HP:0008963
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003427
http://www.orpha.net/ORDO/Orphanet_97245	HP:0008994
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003749
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003392
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003731
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003694
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003810
http://www.orpha.net/ORDO/Orphanet_97245	HP:0008997
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003547
http://www.orpha.net/ORDO/Orphanet_97245	HP:0009005
http://www.orpha.net/ORDO/Orphanet_97245	HP:0033416
http://www.orpha.net/ORDO/Orphanet_97245	HP:0012515
http://www.orpha.net/ORDO/Orphanet_97245	HP:0009027
http://www.orpha.net/ORDO/Orphanet_97245	HP:0031108
http://www.orpha.net/ORDO/Orphanet_97245	HP:0031374
http://www.orpha.net/ORDO/Orphanet_97245	HP:0031177
http://www.orpha.net/ORDO/Orphanet_97245	HP:0009077
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002058
http://www.orpha.net/ORDO/Orphanet_97245	HP:0000602
http://www.orpha.net/ORDO/Orphanet_97245	HP:0000544
http://www.orpha.net/ORDO/Orphanet_97245	HP:0000496
http://www.orpha.net/ORDO/Orphanet_97245	HP:0007941
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001761
http://www.orpha.net/ORDO/Orphanet_97245	HP:0000768
http://www.orpha.net/ORDO/Orphanet_97245	HP:0000767
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001622
http://www.orpha.net/ORDO/Orphanet_97245	HP:0000508
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001558
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001989
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001284
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001265
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002600
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002522
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001315
http://www.orpha.net/ORDO/Orphanet_97245	HP:0031826
http://www.orpha.net/ORDO/Orphanet_97245	HP:0004347
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002104
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002098
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002878
http://www.orpha.net/ORDO/Orphanet_97245	HP:0004887
http://www.orpha.net/ORDO/Orphanet_97245	HP:0004885
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002643
http://www.orpha.net/ORDO/Orphanet_97245	HP:0004889
http://www.orpha.net/ORDO/Orphanet_97245	HP:0005949
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002093
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002747
http://www.orpha.net/ORDO/Orphanet_97245	HP:0032341
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003306
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002650
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002751
http://www.orpha.net/ORDO/Orphanet_97245	HP:6000327
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001547
http://www.orpha.net/ORDO/Orphanet_97245	HP:0000886
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003691
http://www.orpha.net/ORDO/Orphanet_97245	HP:0000774
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002808
http://www.orpha.net/ORDO/Orphanet_97245	HP:0000028
http://www.orpha.net/ORDO/Orphanet_97245	HP:0030000
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003398
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003458
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003445
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003403
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003236
http://www.orpha.net/ORDO/Orphanet_97245	HP:0008180
http://www.orpha.net/ORDO/Orphanet_97245	HP:0040081
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003552
http://www.orpha.net/ORDO/Orphanet_97245	HP:0002804
http://www.orpha.net/ORDO/Orphanet_97245	HP:0004322
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001249
http://www.orpha.net/ORDO/Orphanet_97245	HP:0004325
http://www.orpha.net/ORDO/Orphanet_97245	HP:0003457
http://www.orpha.net/ORDO/Orphanet_97245	HP:0001387
http://www.orpha.net/ORDO/Orphanet_97245	HP:0000486 
