defined_class	source	function	activity
HP:0008872		http://id.who.int/icd/entity/1806589582	
HP:0008872		http://id.who.int/icd/entity/1389818830	
HP:0008872		http://id.who.int/icd/entity/1174312718	
HP:0008872		http://id.who.int/icd/entity/923782542	
HP:0008872		http://id.who.int/icd/entity/539470158	http://id.who.int/icd/entity/553784299
HP:0002033	CMS Scoping review	http://id.who.int/icd/entity/2089171534	http://id.who.int/icd/entity/1328675264
HP:0002033			http://id.who.int/icd/entity/553784299
HP:0031914	CMS Scoping review		
HP:0003323	CMS Scoping review		
HP:0001288	CMS Scoping review		
HP:0002515	CMS Scoping review	http://id.who.int/icd/entity/1328466963	http://id.who.int/icd/entity/1550548595
HP:0002359	CMS Scoping review		http://id.who.int/icd/entity/1550548595
HP:0002540	CMS Scoping review	http://id.who.int/icd/entity/1328466963	http://id.who.int/icd/entity/1550548595
HP:0009046	CMS Scoping review	http://id.who.int/icd/entity/1328466963	http://id.who.int/icd/entity/412494151
HP:0002505	CMS Scoping review	http://id.who.int/icd/entity/1328466963	http://id.who.int/icd/entity/1550548595
HP:0003473	CMS Scoping review	http://id.who.int/icd/entity/1674298945	
HP:0003473		http://id.who.int/icd/entity/1521707777	
HP:0003473		http://id.who.int/icd/entity/1789365017	
HP:0030196	CMS Scoping review		
HP:0030198	CMS Scoping review		
HP:0030199	CMS Scoping review		
HP:0030200	CMS Scoping review		
HP:0030192	CMS Scoping review		
HP:0030194	CMS Scoping review		
HP:0030195	CMS Scoping review		
HP:0030197	CMS Scoping review		
HP:0003391	CMS Scoping review		
HP:0003307	CMS Scoping review		
HP:0001252	CMS Scoping review	http://id.who.int/icd/entity/260756767	
HP:0001319	CMS Scoping review	http://id.who.int/icd/entity/260756767	
HP:0001324	CMS Scoping review		
HP:0000467	CMS Scoping review		
HP:0030319	CMS Scoping review		
HP:0000597	CMS Scoping review		
HP:0007715	CMS Scoping review		
HP:0003327	CMS Scoping review		
HP:0004878	CMS Scoping review		
HP:0009023	CMS Scoping review		
HP:0003722	CMS Scoping review		
HP:0003690	CMS Scoping review		
HP:0009053	CMS Scoping review		
HP:0008959	CMS Scoping review		
HP:0007340	CMS Scoping review		
HP:0003484	CMS Scoping review		
HP:0003325	CMS Scoping review		
HP:0003701	CMS Scoping review		
HP:0002460	CMS Scoping review		
HP:0009028	CMS Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0011727	CMS Scoping review		
HP:0030237	CMS Scoping review		
HP:0009063	CMS Scoping review		
HP:0009073	CMS Scoping review		
HP:0008963	CMS Scoping review		
HP:0003427	CMS Scoping review		
HP:0008994	CMS Scoping review		
HP:0003749	CMS Scoping review		
HP:0003392	CMS Scoping review		
HP:0003731	CMS Scoping review		
HP:0003694	CMS Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0003810	CMS Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0008997	CMS Scoping review		
HP:0003547	CMS Scoping review		
HP:0009005	CMS Scoping review		
HP:0033416	CMS Scoping review		
HP:0012515	CMS Scoping review		
HP:0009027	CMS Scoping review		
HP:0031108	CMS Scoping review		
HP:0031374	CMS Scoping review		
HP:0031177	CMS Scoping review		
HP:0009077	CMS Scoping review		
HP:0000602	CMS Scoping review		
HP:0000544	CMS Scoping review		
HP:0000496	CMS Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0007941	CMS Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0007941		http://id.who.int/icd/entity/1090716697	
HP:0012531	CMS Scoping review		
HP:0003326	CMS Scoping review	http://id.who.int/icd/entity/893697482	
HP:0003326		http://id.who.int/icd/entity/299098423	
HP:0003326		http://id.who.int/icd/entity/117147127	
HP:0003326		http://id.who.int/icd/entity/1065560247	
HP:0003326		http://id.who.int/icd/entity/682314871	
HP:0003326		http://id.who.int/icd/entity/1299345975	
HP:0003326		http://id.who.int/icd/entity/1515853559	
HP:0003394	CMS Scoping review	http://id.who.int/icd/entity/1405368356	
HP:0003394		http://id.who.int/icd/entity/621727843	
HP:0000508	CMS Scoping review		
HP:0007695	CMS Scoping review		
HP:0030211	CMS Scoping review		
HP:0001558	CMS Scoping review		
HP:0001315	CMS Scoping review	http://id.who.int/icd/entity/1434015402	
HP:0031826	CMS Scoping review	http://id.who.int/icd/entity/1434015402	
HP:0001284	CMS Scoping review	http://id.who.int/icd/entity/1434015402	
HP:0001265	CMS Scoping review	http://id.who.int/icd/entity/1434015402	
HP:0002600	CMS Scoping review	http://id.who.int/icd/entity/1434015402	
HP:0002522	CMS Scoping review	http://id.who.int/icd/entity/1434015402	
HP:0002098	CMS Scoping review		
HP:0002104	CMS Scoping review	http://id.who.int/icd/entity/744367503	
HP:0002104		http://id.who.int/icd/entity/1470583183	
HP:0002878	CMS Scoping review	http://id.who.int/icd/entity/744367503	
HP:0002878		http://id.who.int/icd/entity/1470583183	
HP:0004887	CMS Scoping review	http://id.who.int/icd/entity/744367503	
HP:0004887		http://id.who.int/icd/entity/1470583183	
HP:0002643	CMS Scoping review	http://id.who.int/icd/entity/744367503	
HP:0002643		http://id.who.int/icd/entity/1470583183	
HP:0005949	CMS Scoping review	http://id.who.int/icd/entity/744367503	
HP:0005949		http://id.who.int/icd/entity/1470583183	
HP:0004889	CMS Scoping review	http://id.who.int/icd/entity/744367503	
HP:0004889		http://id.who.int/icd/entity/1470583183	
HP:0004347	CMS Scoping review	http://id.who.int/icd/entity/744367503	
HP:0004347		http://id.who.int/icd/entity/1470583183	
HP:0004885	CMS Scoping review	http://id.who.int/icd/entity/744367503	
HP:0004885		http://id.who.int/icd/entity/1470583183	
HP:0002747	CMS Scoping review		
HP:0002093	CMS Scoping review		
HP:0032341	CMS Scoping review		
HP:0002650	CMS Scoping review		
HP:0002751	CMS Scoping review		
HP:0030006	CMS Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0030205	CMS Scoping review	http://id.who.int/icd/entity/1789365017	
HP:0008180	CMS Scoping review		
HP:0003236	CMS Scoping review		
HP:0040081	CMS Scoping review		
HP:0030202	CMS Scoping review		
HP:0030203	CMS Scoping review		
HP:0003722	CMS HPO DB associations		
HP:0001270	CMS HPO DB associations		
HP:0001252	CMS HPO DB associations		
HP:0008872	CMS HPO DB associations		
HP:0001324	CMS HPO DB associations		
HP:0002650	CMS HPO DB associations		
HP:0001319	CMS HPO DB associations		
HP:0001315	CMS HPO DB associations		
HP:0031108	CMS HPO DB associations		
HP:0002747	CMS HPO DB associations		
HP:0002033	CMS HPO DB associations		
HP:0002015	CMS HPO DB associations		
HP:0002098	CMS HPO DB associations		
HP:0002093	CMS HPO DB associations		
HP:0003394	CMS HPO DB associations		
HP:0003391	CMS HPO DB associations		
HP:0003473	CMS HPO DB associations		
HP:0003484	CMS HPO DB associations		
HP:0003458	CMS HPO DB associations		
HP:0003403	CMS HPO DB associations		
HP:0003547	CMS HPO DB associations		
HP:0011968	CMS HPO DB associations		
HP:0003690	CMS HPO DB associations		
HP:0009077	CMS HPO DB associations		
HP:0000651	CMS HPO DB associations		
HP:0000602	CMS HPO DB associations		
HP:0009005	CMS HPO DB associations		
HP:0002804	CMS HPO DB associations		
HP:0002882	CMS HPO DB associations		
HP:0002878	CMS HPO DB associations		
HP:0000218	CMS HPO DB associations		
HP:0001558	CMS HPO DB associations		
HP:0031374	CMS HPO DB associations		
HP:0030197	CMS HPO DB associations		
HP:0030196	CMS HPO DB associations		
HP:0001612	CMS HPO DB associations	http://id.who.int/icd/entity/1034220517	
HP:0030199	CMS HPO DB associations		
HP:0030319	CMS HPO DB associations		
HP:0000496	CMS HPO DB associations		
HP:0000467	CMS HPO DB associations		
HP:0000508	CMS HPO DB associations		
HP:0000597	CMS HPO DB associations		
HP:0012515	CMS HPO DB associations		
HP:0002460	CMS HPO DB associations		
HP:0003701	CMS HPO DB associations		
HP:0001288	CMS HPO DB associations		
HP:0001284	CMS HPO DB associations		
HP:0002515	CMS HPO DB associations		
HP:0003325	CMS HPO DB associations		
HP:0008180	CMS HPO DB associations		
HP:0002359	CMS HPO DB associations		
HP:0009028	CMS HPO DB associations		
HP:0003236	CMS HPO DB associations		
HP:0030205	CMS HPO DB associations		
HP:0030202	CMS HPO DB associations		
HP:0002643	CMS HPO DB associations		
HP:0033454	CMS HPO DB associations		
HP:0001249	CMS HPO DB associations		
HP:0001265	CMS HPO DB associations		
HP:0003327	CMS HPO DB associations		
HP:0003307	CMS HPO DB associations		
HP:0003398	CMS HPO DB associations		
HP:0030203	CMS HPO DB associations		
HP:0005216	CMS HPO DB associations		
HP:0007941	CMS HPO DB associations		
HP:0030211	CMS HPO DB associations		
HP:0030237	CMS HPO DB associations		
HP:0007340	CMS HPO DB associations		
HP:0002540	CMS HPO DB associations		
HP:0008997	CMS HPO DB associations		
HP:0008959	CMS HPO DB associations		
HP:0009053	CMS HPO DB associations		
HP:0030192	CMS HPO DB associations		
HP:0000007	CMS HPO DB associations		
HP:0000006	CMS HPO DB associations		
